account_id,customer_id,account_type,branch_id,balance,opening_date,account_status
A0349,C0365,Salary,B027,4632895.69,2024-06-18,Inactive
A0147,C0212,Current,B005,912853.49,2021-04-01,Active
A0086,C0181,Business,B026,2930814.75,2023-10-22,Active
A0143,C0408,Savings,B036,1868845.74,2022-08-14,Frozen
A0133,C0336,Business,B020,1147550.42,2026-04-10,Inactive
A0426,C0142,Savings,B013,564282.93,2019-09-04,Frozen
A0211,C0203,Current,B036,3080368.19,2026-04-02,Frozen
A0186,C0337,Current,B037,3126999.94,2020-01-03,Frozen
A0330,C0285,Savings,B029,881693.84,2022-07-21,Active
A0168,C0194,Salary,B047,674526.14,2018-06-11,Inactive
A0080,C0046,Savings,B017,1109629.45,2018-11-24,Frozen
A0100,C0378,Current,B016,3677409.9,2020-12-23,Active
A0500,C0092,Business,B045,3224284.44,2018-04-27,Active
A0045,C0053,Salary,B017,2893578.54,2024-05-24,Active
A0482,C0353,Savings,B047,2395427.19,2018-06-14,Active
A0126,C0161,Salary,B042,1457490.41,2020-12-31,Frozen
A0297,C0321,Current,B037,3028839.76,2020-02-07,Frozen
A0099,C0138,Current,B044,4651346.06,2020-02-18,Inactive
A0198,C0071,Salary,B024,4448237.14,2020-10-20,Active
A0057,C0331,Current,B017,68998.64,2024-04-28,Active
A0530,C0436,Business,B024,3490966.4,2020-01-29,Inactive
A0041,C0290,Current,B047,2418033.58,2022-01-09,Active
A0074,C0283,Business,B012,1851694.63,2024-03-22,Inactive
A0264,C0197,Current,B025,2752179.08,2018-06-29,Active
A0177,C0050,Savings,B003,4176131.6,2019-06-16,Active
A0512,C0175,Current,B007,1090163.18,2023-08-24,Active
A0497,C0422,Salary,B038,1520267.98,2024-04-09,Frozen
A0559,C0014,Salary,B025,487652.9,2021-11-14,Inactive
A0219,C0008,Salary,B045,4021599.59,2021-06-03,Inactive
A0273,C0322,Current,B004,925015.1,2018-08-14,Frozen
A0213,C0351,Savings,B008,3359066.02,2022-10-01,Inactive
A0195,C0456,Salary,B001,1502369.47,2020-06-27,Active
A0564,C0264,Business,B018,102990.96,2023-04-08,Frozen
A0052,C0247,Business,B031,1054309.05,2019-10-23,Frozen
A0488,C0029,Salary,B026,740581.75,2022-10-18,Inactive
A0460,C0232,Business,B033,2633886.31,2019-05-18,Inactive
A0257,C0086,Business,B019,3066058.26,2018-08-12,Frozen
A0071,C0353,Salary,B027,1811986.68,2019-09-26,Inactive
A0357,C0086,Savings,B045,4614399.72,2026-05-28,Inactive
A0180,C0303,Salary,B004,1832403.75,2024-10-17,Frozen
A0541,C0103,Business,B008,1165115.32,2022-10-06,Frozen
A0312,C0139,Current,B046,4020210.19,2024-06-09,Active
A0319,C0393,Business,B031,1159239.37,2020-07-05,Active
A0139,C0227,Salary,B024,2061606.82,2019-09-30,Inactive
A0582,C0397,InvalidType,B034,25929.0,2023-07-04,Active
A0283,C0148,Business,B039,4239142.05,2020-11-29,Frozen
A0338,C0437,Salary,B004,1846745.24,2024-02-27,Active
A0585,C0217,InvalidType,B014,15283.51,2023-12-25,Active
A0576,C0405,Salary,B043,-5551.99,2026-08-12,Active
A0043,C0022,Current,B034,4538722.74,2022-01-19,Inactive
A0331,C0307,Savings,B044,4070519.53,2026-08-26,Inactive
A0051,C0339,Current,B027,4056051.97,2026-01-29,Active
A0451,C0238,Savings,B041,354422.26,2025-09-30,Inactive
A0536,C0160,Business,B015,2770025.54,2021-04-05,Inactive
A0521,C0022,Current,B007,164930.79,2025-05-26,Frozen
A0412,C0416,Business,B021,604891.4,2025-09-03,Frozen
A0511,C0007,Current,B034,1407807.38,2023-06-10,Inactive
A0032,C0376,Salary,B031,2314779.03,2022-01-09,Inactive
A0228,C0249,Savings,B012,995177.12,2023-02-19,Frozen
A0239,C0336,Current,B021,340002.39,2023-12-24,Frozen
A0468,C0428,Salary,B027,2893944.32,2025-05-09,Frozen
A0234,C0071,Savings,B047,1911653.4,2025-08-09,Frozen
A0486,C0435,Business,B044,3358117.32,2018-12-24,Frozen
A0375,C0300,Business,B030,3865981.93,2026-05-27,Active
A0057,C0111,Business,B039,4963886.34,2023-05-27,Active
A0090,C0134,Current,B027,2531684.24,2024-04-07,Active
A0447,C0355,Business,B014,664427.3,2021-04-26,Active
A0209,C0281,Business,B017,426309.86,2023-08-18,Inactive
A0175,C0338,Business,B013,2620824.77,2023-07-31,Frozen
,C0320,Business,B043,76580.78,2024-01-05,Active
A0480,C0260,Salary,B042,3527551.33,2023-04-26,Inactive
A0301,C0192,Savings,B013,4566855.88,2022-12-23,Frozen
A0471,C0088,Salary,B015,2421731.32,2021-03-26,Active
A0122,C0090,Salary,B023,1626126.34,2023-09-22,Inactive
A0391,C0373,Salary,B029,94805.2,2023-08-01,Active
A0188,C0346,Business,B045,3326546.53,2019-03-03,Active
A0456,C0361,Savings,B036,3546976.34,2020-04-18,Active
A0477,C0191,Business,B035,4877352.93,2023-12-26,Inactive
A0141,C0147,Business,B035,42577.24,2023-07-08,Inactive
A0164,C0128,Current,B032,457916.36,2024-12-08,Inactive
A0389,C0277,Business,B014,3070217.49,2019-03-12,Inactive
A0429,C0316,Business,B003,523001.08,2018-08-03,Frozen
A0124,C0324,Current,B011,3203262.68,2021-10-13,Inactive
A0551,C0010,Savings,B028,4400748.23,2019-05-03,Inactive
A0007,C0108,Current,B044,2121623.05,2019-03-02,Active
A0380,C0048,Savings,B039,3283370.99,2020-06-07,Frozen
A0479,C0235,Salary,B010,22467.23,2026-04-13,Frozen
A0290,C0154,Salary,B001,570069.98,2021-09-27,Inactive
A0410,C0313,Current,B038,320724.12,2019-03-12,Active
A0250,C0251,Salary,B030,4438046.99,2022-10-18,Inactive
A0569,C0110,Salary,B017,238609.27,2024-06-07,Inactive
A0508,C0100,Current,B007,2994213.68,2019-11-16,Frozen
A0327,C0417,Business,B028,2836488.76,2021-11-02,Frozen
A0152,C0112,Salary,B027,1558571.85,2023-08-04,Inactive
A0438,C0355,Savings,B018,683371.0,2023-03-22,Inactive
A0323,C0394,Salary,B039,2873816.61,2023-09-12,Active
A0367,C0327,Current,B014,2889209.21,2021-11-14,Active
A0575,C9999,Current,B018,14506.63,2024-06-13,Active
A0104,C0318,Salary,B032,4490707.88,2024-06-11,Inactive
A0358,C0373,Salary,B004,3146870.97,2024-06-26,Active
A0494,C0034,Business,B006,34087.72,2025-03-01,Inactive
A0445,C0272,Business,B031,4048772.89,2025-10-24,Active
A0547,C0196,Salary,B010,1514460.3,2024-12-27,Active
A0405,C0208,Savings,B014,4035711.43,2025-06-26,Frozen
A0102,C0399,Savings,B008,4601020.46,2025-07-31,Frozen
A0002,C0319,Current,B003,3413074.25,2021-08-07,Inactive
A0191,C0433,Salary,B027,3821157.66,2022-10-30,Frozen
A0478,C0063,Savings,B026,4655413.51,2026-08-14,Active
A0434,C0193,Current,B005,2355480.31,2023-06-08,Active
A0448,C0332,Savings,B002,2399434.97,2021-06-02,Active
A0295,C0162,Savings,B014,2887410.81,2021-09-20,Inactive
A0408,C0024,Current,B045,3244283.31,2018-02-28,Active
A0193,C0382,Salary,B024,4808297.23,2023-01-07,Inactive
A0489,C0198,Salary,B001,1423967.18,2021-12-10,Inactive
A0310,C0081,Salary,B008,77268.33,2024-12-26,Frozen
A0459,C0349,Business,B018,273245.52,2022-03-08,Inactive
A0467,C0331,Savings,B019,946114.23,2018-04-01,Active
A0531,C0345,Savings,B012,4173876.03,2022-04-04,Inactive
A0160,C0185,Savings,B043,1089723.46,2019-04-08,Active
A0116,C0256,Current,B041,2585517.87,2026-01-30,Inactive
A0172,C0420,Salary,B035,1836196.42,2018-01-03,Frozen
A0117,C0403,Business,B020,1255619.19,2024-05-14,Active
A0151,C0225,Savings,B015,451894.72,2018-03-02,Inactive
A0081,C0020,Business,B026,3070213.99,2023-11-05,Inactive
A0218,C0379,Savings,B016,4744755.63,2019-08-28,Inactive
A0181,C0037,Savings,B014,3279091.06,2018-11-24,Inactive
A0278,C0048,Salary,B021,1843478.56,2022-04-02,Active
A0580,C0204,Current,B016,-1208.13,2025-10-21,Active
,C0433,Savings,B038,34346.97,2023-05-18,Active
A0101,C0118,Current,B016,4181837.22,2021-12-29,Active
A0047,C0129,Business,B015,2582342.54,2021-12-16,Inactive
A0280,C0063,Salary,B022,2635736.61,2023-11-19,Active
A0201,C0250,Savings,B039,3211630.86,2018-06-03,Frozen
A0200,C0376,Savings,B047,1624135.58,2023-05-31,Active
A0030,C0087,Savings,B021,1231629.52,2020-06-26,Frozen
A0005,C0023,Salary,B042,963369.43,2023-10-06,Active
A0129,C0373,Current,B043,1258983.4,2026-05-05,Frozen
A0225,C0199,Salary,B043,4260562.64,2025-05-27,Inactive
A0150,C0012,Current,B007,1411290.57,2019-05-28,Frozen
A0382,C0067,Business,B043,3819524.97,2025-04-07,Frozen
A0091,C0258,Salary,B022,4735130.31,2023-10-04,Inactive
A0065,C0333,Business,B034,2103999.42,2018-06-27,Frozen
A0212,C0127,Current,B005,1332019.2,2022-10-28,Inactive
A0379,C0113,Salary,B017,966204.58,2018-04-08,Frozen
A0170,C0098,Current,B035,1738975.73,2026-03-19,Inactive
A0440,C0081,Current,B037,4850709.07,2020-07-29,Active
A0324,C0208,Savings,B021,2781193.15,2018-10-18,Inactive
A0470,C0432,Business,B030,1521107.61,2019-06-25,Inactive
A0342,C0072,Current,B036,1923590.69,2022-01-15,Inactive
A0284,C0295,Salary,B009,3071835.61,2023-07-27,Frozen
A0359,C0294,Savings,B043,4951833.78,2026-04-09,Frozen
A0573,C9999,Business,B032,56422.68,2025-06-12,Active
A0012,C0208,Business,B021,85437.95,2025-07-20,Active
A0020,C0064,Savings,B001,2864020.26,2022-06-03,Frozen
A0142,C0154,Savings,B028,3990025.92,2024-09-11,Active
A0013,C0274,Savings,B042,3601708.12,2018-09-17,Frozen
A0274,C0179,Savings,B010,4269292.61,2025-06-25,Frozen
A0340,C0222,Business,B041,1591318.42,2022-04-17,Inactive
A0304,C0347,Current,B014,3623128.59,2023-02-25,Inactive
A0354,C0040,Salary,B040,264818.59,2021-11-08,Frozen
A0339,C0001,Salary,B008,4306377.95,2018-05-08,Active
,C0340,Salary,B013,42017.11,2024-05-29,Active
A0513,C0426,Current,B036,3067528.37,2023-11-24,Frozen
A0237,C0071,Current,B009,1545682.98,2025-11-28,Frozen
A0033,C0250,Savings,B012,3228112.47,2018-12-02,Inactive
A0039,C0204,Salary,B033,53947.82,2020-09-05,Frozen
A0360,C0014,Salary,B032,413468.32,2023-09-02,Active
A0282,C0323,Savings,B031,3620646.62,2024-10-13,Frozen
A0510,C0358,Salary,B007,2672567.2,2021-12-11,Active
A0348,C0310,Savings,B037,2491286.66,2026-03-13,Active
A0248,C0210,Savings,B018,4751040.01,2020-06-30,Frozen
A0120,C0185,Salary,B023,100156.83,2019-05-12,Inactive
A0458,C0386,Current,B015,1602998.62,2020-12-31,Frozen
A0402,C0369,Current,B032,1944448.9,2024-01-24,Frozen
A0420,C0355,Current,B014,716296.22,2021-01-14,Frozen
A0238,C0466,Current,B028,4978433.32,2026-08-21,Active
A0247,C0252,Business,B009,819768.09,2020-07-15,Active
A0376,C0376,Current,B034,1687695.61,2025-09-28,Active
A0320,C0441,Salary,B024,1960992.51,2025-11-05,Frozen
A0321,C0170,Salary,B030,2438046.16,2018-09-25,Inactive
A0346,C0458,Business,B040,899807.09,2023-09-18,Inactive
A0176,C0079,Salary,B021,2049612.83,2021-08-12,Active
A0499,C0154,Business,B008,3269411.05,2021-03-24,Inactive
A0563,C0167,Savings,B030,3289181.17,2022-09-27,Frozen
A0395,C0277,Current,B001,1922734.95,2025-09-24,Inactive
A0119,C0244,Savings,B029,3723221.51,2020-11-30,Inactive
A0501,C0392,Salary,B032,4971670.44,2018-10-01,Frozen
A0430,C0091,Current,B002,2425821.92,2019-04-21,Active
A0279,C0389,Business,B036,325564.41,2023-04-13,Active
A0255,C0286,Business,B034,3826034.2,2018-07-21,Active
A0110,C0442,Salary,B012,2743268.44,2020-08-29,Inactive
A0369,C0244,Salary,B031,3731006.58,2026-06-09,Frozen
A0112,C0215,Salary,B024,4271776.11,2021-02-19,Inactive
A0427,C0433,Business,B032,882442.76,2025-07-07,Active
A0158,C0200,Salary,B021,793898.57,2026-03-02,Active
A0095,C0325,Current,B044,3506179.33,2021-07-17,Inactive
A0208,C0068,Salary,B006,2379797.42,2026-05-11,Active
A0294,C0381,Savings,B034,1497419.39,2026-02-17,Frozen
A0194,C0001,Savings,B019,2979218.37,2023-10-22,Active
A0414,C0304,Current,B022,317046.22,2021-01-26,Active
A0562,C0445,Salary,B008,1688633.69,2018-03-22,Frozen
A0302,C0013,Business,B033,771234.81,2021-10-25,Inactive
A0244,C0314,Current,B039,1161680.49,2025-09-16,Active
A0276,C0214,Current,B011,3360780.39,2024-11-08,Frozen
A0229,C0365,Savings,B003,1237713.31,2023-12-09,Inactive
A0251,C0398,Savings,B039,3676923.57,2022-04-08,Frozen
A0561,C0332,Salary,B038,425623.74,2025-09-19,Active
A0263,C0362,Business,B041,1815354.0,2023-11-16,Frozen
A0502,C0382,Salary,B038,2402949.04,2022-11-22,Inactive
A0050,C0077,Current,B011,1811752.5,2026-01-17,Active
A0184,C0037,Salary,B005,4723072.81,2023-10-29,Active
A0393,C0359,Salary,B026,2873626.62,2023-10-13,Frozen
A0159,C0382,Savings,B017,2406666.74,2021-05-08,Active
A0388,C0313,Business,B012,3227770.4,2019-03-21,Active
A0496,C0103,Current,B025,1448026.37,2023-07-03,Active
A0153,C0238,Savings,B022,402035.26,2026-06-02,Active
A0062,C0215,Current,B039,482396.59,2023-05-04,Frozen
A0469,C0403,Salary,B032,2967192.92,2025-10-25,Frozen
A0315,C0055,Business,B004,431511.78,2022-05-25,Active
A0207,C0229,Savings,B015,2160246.42,2022-06-04,Active
A0199,C0132,Salary,B006,2852865.31,2024-05-19,Active
A0353,C0046,Current,B031,3153683.58,2025-06-11,Frozen
A0107,C0017,Salary,B026,4302140.25,2019-12-17,Inactive
A0011,C0037,Current,B017,2038756.26,2023-01-22,Frozen
A0392,C0335,Savings,B003,3323364.58,2020-12-27,Active
A0436,C0092,Business,B024,682886.67,2026-01-27,Active
A0123,C0397,Business,B006,1905973.92,2021-03-19,Inactive
A0400,C0459,Savings,B041,3444524.07,2023-06-16,Active
A0131,C0033,Business,B036,270073.37,2026-08-24,Inactive
A0545,C0129,Business,B032,1154878.14,2019-07-06,Active
A0365,C0176,Savings,B010,2978124.92,2019-09-24,Inactive
A0409,C0324,Savings,B020,4103875.38,2019-02-03,Inactive
A0568,C0104,Business,B041,4236823.14,2018-11-05,Frozen
A0037,C0134,Business,B042,3876211.0,2022-02-07,Inactive
A0552,C0231,Salary,B025,2213338.18,2018-05-28,Active
A0345,C0268,Current,B024,46786.18,2024-05-07,Active
A0432,C0215,Current,B044,4491965.41,2020-07-31,Active
A0025,C0237,Savings,B019,3358754.56,2020-10-23,Active
A0535,C0253,Savings,B025,1418773.6,2024-09-25,Frozen
A0473,C0083,Salary,B012,4866057.24,2025-12-10,Frozen
A0292,C0246,Business,B003,3228615.45,2023-05-27,Active
A0167,C0404,Salary,B029,3666210.97,2018-03-29,Frozen
A0232,C0142,Savings,B041,1289139.14,2022-05-05,Active
A0503,C0322,Business,B045,4091585.69,2022-03-09,Frozen
A0453,C0314,Current,B044,405714.25,2021-10-07,Frozen
A0390,C0367,Salary,B007,175269.61,2018-10-16,Frozen
A0138,C0269,Salary,B023,2408776.76,2020-07-19,Active
A0533,C0239,Savings,B034,680425.94,2026-07-20,Inactive
A0581,C0062,InvalidType,B034,66757.5,2026-04-03,Active
A0236,C0160,Salary,B029,2711626.52,2020-04-26,Frozen
A0042,C0113,Business,B015,315242.95,2022-02-22,Active
A0457,C0172,Current,B035,568674.84,2023-05-14,Frozen
A0079,C0412,Savings,B010,2358871.63,2024-09-24,Inactive
A0441,C0211,Business,B014,2958312.78,2023-03-11,Inactive
A0055,C0076,Savings,B011,1292039.97,2020-01-08,Frozen
A0303,C0376,Salary,B021,717331.94,2019-02-07,Frozen
A0192,C0166,Current,B037,2728585.57,2022-03-17,Frozen
A0202,C0414,Business,B006,3900829.42,2026-08-24,Inactive
A0063,C0308,Savings,B035,2517142.71,2019-04-27,Active
A0554,C0160,Business,B032,3820291.68,2024-05-19,Frozen
A0014,C0300,Savings,B045,4241407.94,2022-01-05,Frozen
A0169,C0362,Business,B036,1474278.27,2025-10-26,Inactive
A0428,C0028,Salary,B019,1048739.17,2020-10-26,Inactive
A0381,C0327,Savings,B046,4789018.89,2018-12-20,Frozen
A0127,C0331,Business,B018,4438571.34,2022-01-27,Frozen
A0040,C0351,Current,B033,702713.09,2019-10-15,Active
A0214,C0179,Current,B021,1723280.02,2025-05-08,Active
A0334,C0388,Current,B043,746932.94,2023-12-17,Inactive
A0293,C0322,Business,B035,4479747.08,2023-03-10,Inactive
A0495,C0213,Current,B036,2311137.7,2024-05-15,Active
A0413,C0280,Current,B021,4182299.03,2020-05-23,Active
A0449,C0361,Business,B037,3736686.2,2018-04-10,Inactive
A0437,C0324,Salary,B018,1011852.24,2019-06-06,Active
A0300,C0232,Salary,B014,2625977.0,2019-12-18,Active
A0528,C0391,Savings,B034,1085773.38,2020-02-24,Inactive
A0574,C9999,Business,B042,90659.91,2024-02-18,Active
A0261,C0233,Current,B030,451808.13,2021-08-20,Frozen
A0571,C9999,Business,B016,12242.3,2024-01-29,Active
A0461,C0364,Salary,B029,3105135.39,2025-07-20,Frozen
A0146,C0123,Salary,B019,3242636.75,2023-12-19,Inactive
A0565,C0012,Salary,B025,2852197.35,2021-08-13,Frozen
A0048,C0250,Business,B039,33981.84,2019-07-24,Inactive
A0179,C0017,Business,B043,2450058.28,2024-12-30,Frozen
A0064,C0247,Current,B039,2696890.65,2018-01-05,Frozen
A0076,C0377,Current,B043,596309.74,2020-07-30,Inactive
A0058,C0113,Business,B039,714417.97,2024-07-14,Active
A0493,C0074,Current,B020,2373591.04,2023-11-22,Inactive
A0446,C0232,Business,B016,416374.53,2026-06-12,Active
A0249,C0344,Current,B014,331615.48,2022-12-05,Frozen
A0288,C0024,Salary,B023,2802517.11,2025-02-24,Active
A0183,C0407,Savings,B040,1329812.36,2018-06-16,Frozen
A0227,C0119,Business,B033,4883083.09,2019-02-12,Inactive
A0021,C0281,Savings,B020,1051054.4,2026-04-25,Frozen
A0475,C0295,Current,B029,1302775.58,2020-01-26,Active
A0385,C0355,Salary,B017,810668.19,2018-10-31,Inactive
A0371,C0075,Business,B001,1444672.32,2023-01-13,Inactive
A0578,C0029,Savings,B021,-6055.84,2023-05-11,Active
A0084,C0265,Current,B040,848244.98,2018-05-28,Inactive
A0386,C0398,Savings,B025,1943563.55,2018-09-04,Inactive
A0443,C0114,Current,B037,4491360.72,2022-09-08,Active
A0019,C0332,Salary,B001,2768067.41,2024-03-23,Active
A0094,C0236,Savings,B031,582225.24,2018-10-04,Inactive
A0118,C0204,Savings,B045,817546.06,2020-06-01,Inactive
A0362,C0440,Salary,B001,3707404.4,2024-10-09,Active
A0505,C0164,Business,B045,678351.47,2019-10-31,Active
A0534,C0361,Salary,B036,3610960.72,2018-12-03,Inactive
A0028,C0249,Business,B022,3082095.81,2021-06-06,Frozen
A0226,C0443,Savings,B002,1463185.39,2025-04-13,Inactive
A0326,C0125,Current,B031,1919698.48,2021-10-27,Active
A0337,C0299,Savings,B040,4932121.82,2022-07-14,Active
A0285,C0374,Business,B032,4040093.82,2024-11-01,Active
A0078,C0411,Savings,B011,1946129.3,2025-02-17,Active
A0252,C0161,Business,B040,4695756.53,2024-05-31,Frozen
A0540,C0303,Savings,B011,324487.35,2020-03-26,Inactive
A0542,C0256,Salary,B046,3830094.85,2024-08-28,Inactive
A0224,C0317,Salary,B004,2325339.13,2018-02-04,Active
A0415,C0388,Business,B011,3481782.63,2024-03-16,Active
A0265,C0468,Salary,B037,4356655.71,2019-09-07,Active
A0136,C0140,Business,B009,4847741.78,2025-10-28,Frozen
A0314,C0228,Savings,B009,145934.44,2025-07-29,Active
A0549,C0406,Business,B013,1468521.09,2023-08-02,Inactive
A0466,C0214,Current,B031,1734154.53,2022-12-24,Frozen
A0492,C0374,Business,B009,4177722.15,2024-09-15,Active
A0185,C0052,Current,B035,1927270.11,2020-03-02,Frozen
A0144,C0224,Business,B016,817184.21,2026-04-08,Frozen
A0539,C0338,Savings,B008,717694.44,2022-06-29,Frozen
A0066,C0272,Business,B015,4692169.72,2023-05-29,Inactive
A0023,C0083,Current,B015,3084807.73,2020-11-01,Active
A0161,C0325,Business,B021,76323.46,2021-02-04,Frozen
A0060,C0306,Savings,B015,1891678.55,2019-06-26,Active
A0399,C0021,Business,B043,955824.8,2025-10-21,Inactive
A0073,C0188,Salary,B044,1987873.29,2020-04-14,Inactive
A0222,C0356,Savings,B025,2915441.71,2025-06-10,Frozen
A0272,C0308,Savings,B016,4410957.16,2021-02-13,Frozen
A0416,C0225,Current,B038,204453.77,2019-02-14,Frozen
A0163,C0402,Business,B045,2981465.21,2022-03-02,Active
A0579,C0462,Business,B024,-6749.55,2023-07-04,Active
A0404,C0019,Salary,B004,1689255.3,2026-02-01,Active
A0240,C0061,Current,B021,4197773.03,2019-08-20,Frozen
A0174,C0439,Salary,B040,1194694.0,2026-02-01,Active
A0253,C0275,Savings,B034,547472.15,2023-02-15,Active
A0258,C0265,Current,B030,4149637.63,2023-01-25,Active
A0526,C0297,Salary,B023,803626.12,2023-08-13,Frozen
A0506,C0140,Salary,B027,3181599.43,2021-12-29,Active
A0516,C0186,Current,B029,4448742.2,2024-09-13,Frozen
A0298,C0060,Salary,B046,4289239.57,2025-12-17,Active
A0558,C0024,Current,B024,1745035.06,2026-04-28,Frozen
A0287,C0321,Savings,B014,3998022.19,2022-08-26,Inactive
A0557,C0347,Salary,B019,1603093.43,2018-04-26,Frozen
,C0291,Business,B028,21764.18,2023-06-07,Active
A0419,C0304,Salary,B027,3467824.13,2026-08-31,Inactive
A0203,C0179,Business,B027,4651300.17,2019-05-09,Active
A0155,C0099,Salary,B025,4141431.98,2019-05-15,Frozen
A0515,C0420,Current,B002,2398111.63,2021-06-30,Frozen
A0318,C0240,Savings,B030,1552648.03,2025-03-24,Frozen
A0259,C0370,Savings,B012,3893876.98,2025-10-22,Frozen
A0130,C0384,Savings,B014,835385.41,2019-02-26,Active
A0003,C0469,Savings,B025,1283696.19,2026-02-13,Inactive
A0518,C0418,Savings,B015,644443.68,2025-10-14,Active
A0384,C0240,Savings,B041,2267765.38,2021-02-06,Inactive
A0364,C0401,Current,B032,904865.15,2023-12-01,Active
A0307,C0267,Salary,B002,2888221.61,2021-07-02,Frozen
A0546,C0051,Savings,B005,2491176.41,2018-04-20,Active
A0344,C0332,Savings,B010,3606974.82,2023-06-17,Frozen
A0311,C0264,Savings,B014,2713101.04,2024-02-29,Inactive
A0182,C0411,Savings,B024,2790541.43,2022-08-31,Inactive
,C0452,Savings,B041,70629.83,2024-01-18,Active
A0572,C9999,Savings,B016,79907.43,2024-09-27,Active
A0171,C0141,Current,B005,2656156.01,2023-01-15,Inactive
A0027,C0121,Savings,B019,3097959.37,2020-03-03,Inactive
A0031,C0379,Business,B018,4200710.18,2019-07-05,Frozen
A0286,C0363,Salary,B013,8903.01,2018-04-09,Inactive
A0049,C0085,Current,B005,2573191.82,2021-02-24,Active
A0038,C0115,Salary,B009,2324041.01,2023-09-22,Active
A0132,C0269,Savings,B007,1312998.87,2019-09-29,Active
A0306,C0435,Savings,B022,2334912.64,2018-07-08,Active
A0524,C0309,Current,B038,4505973.16,2020-01-27,Frozen
A0217,C0351,Salary,B010,3788911.18,2018-12-18,Active
A0363,C0466,Current,B043,2233819.19,2019-12-20,Inactive
A0197,C0284,Current,B007,189643.76,2021-12-27,Active
A0484,C0229,Salary,B006,1632505.98,2024-10-26,Frozen
A0109,C0108,Business,B038,504638.38,2022-01-21,Frozen
A0352,C0270,Salary,B030,2585230.8,2023-11-14,Frozen
A0514,C0365,Savings,B027,2302996.3,2018-11-09,Active
A0355,C0399,Savings,B031,2270719.82,2023-04-06,Frozen
A0166,C0275,Savings,B009,2439726.57,2021-07-21,Frozen
A0069,C0132,Current,B001,3546035.04,2018-01-30,Frozen
