loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
L0102,C0348,Car Loan,2706888.85,17.16,2020-10-17,Defaulted
L0243,C0298,Business Loan,9218955.29,12.53,2020-09-10,Defaulted
L0183,C0005,Education Loan,3061215.74,7.4,2021-03-08,Closed
L0280,C0323,Car Loan,6479727.14,12.12,2026-01-02,Defaulted
L0091,C0393,Personal Loan,4035574.02,9.84,2023-08-17,Active
L0276,C0298,Personal Loan,8272149.3,8.29,2022-09-18,Defaulted
L0074,C0008,Education Loan,5567611.56,7.17,2024-10-23,Defaulted
L0103,C0199,Business Loan,3000899.23,7.23,2020-07-31,Closed
L0271,C0252,Home Loan,7403225.97,13.22,2022-11-07,Active
L0220,C0291,Car Loan,4337906.47,10.64,2026-04-25,Active
L0166,C0080,Car Loan,8620337.22,7.33,2025-04-26,Closed
L0010,C0104,Personal Loan,2992640.11,10.76,2021-01-31,Active
L0122,C0249,Personal Loan,8159898.77,12.93,2021-03-08,Active
L0136,C0433,Car Loan,4500108.45,7.57,2024-01-23,Closed
L0006,C0055,Home Loan,1528010.7,16.69,2022-10-08,Defaulted
L0285,C0373,Home Loan,3529655.09,17.92,2025-09-15,Active
L0223,C0095,Business Loan,6835330.55,16.49,2025-05-06,Active
L0160,C0215,Car Loan,7919022.36,13.97,2023-12-19,Active
L0207,C0115,Home Loan,8060040.42,15.93,2021-08-16,Defaulted
L0096,C0404,Business Loan,9903889.52,7.25,2023-05-22,Defaulted
L0168,C0058,Education Loan,7946107.49,17.38,2020-09-27,Active
L0206,C0109,Business Loan,7600893.54,15.88,2021-05-21,Active
L0055,C0409,Home Loan,9727177.96,8.17,2024-01-04,Defaulted
L0252,C0323,Education Loan,2121793.65,8.77,2021-05-29,Defaulted
L0128,C0269,Car Loan,2873340.78,17.52,2021-08-21,Defaulted
L0248,C0389,Personal Loan,555321.81,13.12,2025-03-23,Active
L0230,C0450,Car Loan,5075372.26,12.31,2025-06-03,Active
L0049,C0213,Home Loan,8254506.9,12.25,2023-02-19,Active
L0155,C0408,Car Loan,8383773.7,17.73,2022-09-27,Defaulted
L0146,C0246,Education Loan,6661941.38,15.07,2026-03-17,Defaulted
L0229,C0165,Business Loan,6189192.41,16.64,2025-07-20,Defaulted
L0092,C0303,Home Loan,7137824.26,16.21,2020-07-25,Active
L0123,C0086,Personal Loan,822994.97,9.51,2025-12-24,Closed
L0169,C0176,Personal Loan,1066863.46,14.49,2026-07-04,Defaulted
L0046,C0010,Business Loan,8445153.59,15.18,2025-02-21,Active
L0288,,Education Loan,541041.48,14.41,2023-12-30,Active
L0011,C0004,Business Loan,7171551.45,16.69,2025-01-23,Active
L0217,C0336,Home Loan,3179854.16,8.9,2022-10-13,Closed
L0038,C0109,Home Loan,4774780.27,17.89,2024-05-06,Active
L0236,C0046,Personal Loan,1971998.24,10.37,2025-11-25,Active
L0059,C0035,Home Loan,9101151.94,8.04,2024-05-19,Active
L0241,C0151,Car Loan,5722277.79,13.01,2021-05-12,Defaulted
L0033,C0165,Home Loan,4684483.89,14.93,2022-04-17,Closed
L0201,C0372,Education Loan,1386840.67,6.96,2023-11-05,Active
L0048,C0077,Business Loan,8396288.78,8.16,2025-06-22,Defaulted
L0066,C0338,Personal Loan,4883685.86,13.55,2023-01-01,Active
L0124,C0118,Education Loan,4261360.19,6.88,2023-07-24,Closed
L0145,C0117,Home Loan,8490232.15,8.37,2024-08-07,Closed
L0188,C0007,Home Loan,7393267.56,12.91,2022-07-11,Defaulted
L0023,C0164,Education Loan,7943752.47,17.04,2023-07-03,Active
L0120,C0015,Car Loan,7050645.45,7.76,2025-08-17,Closed
L0246,C0067,Car Loan,8357524.89,9.15,2020-09-28,Defaulted
L0274,C0005,Personal Loan,3539550.28,16.48,2020-03-23,Closed
L0135,C0263,Education Loan,412049.58,14.48,2025-07-25,Closed
L0025,C0040,Personal Loan,4228437.53,8.63,2022-08-22,Defaulted
L0174,C0305,Car Loan,1049069.57,9.09,2025-04-18,Closed
L0178,C0057,Personal Loan,683085.05,13.62,2020-11-28,Closed
L0030,C0401,Education Loan,9289523.18,17.07,2026-01-23,Closed
L0156,C0250,Car Loan,4932296.07,7.18,2022-05-02,Closed
L0138,C0214,Car Loan,8943484.89,16.25,2020-09-14,Defaulted
L0090,C0160,Personal Loan,8488520.88,14.73,2020-09-09,Closed
L0290,C9999,Education Loan,394926.57,10.45,2025-06-15,Active
L0110,C0085,Education Loan,4174236.83,14.51,2020-07-04,Closed
L0161,C0221,Car Loan,2154297.95,9.12,2020-04-15,Closed
L0072,C0316,Car Loan,3368810.26,8.83,2023-12-23,Closed
L0119,C0350,Car Loan,9286177.47,14.47,2021-10-01,Closed
L0021,C0437,Education Loan,1969227.07,7.5,2022-05-31,Closed
L0289,C9999,Home Loan,742369.8,14.63,2025-08-31,Active
L0044,C0083,Home Loan,9985881.23,8.09,2020-10-26,Defaulted
L0210,C0234,Personal Loan,8407227.25,7.65,2020-05-03,Active
L0260,C0063,Car Loan,1675449.68,11.17,2022-04-01,Active
L0037,C0289,Business Loan,9364627.1,7.42,2021-03-03,Active
L0287,,Personal Loan,685844.79,7.68,2025-09-04,Active
L0261,C0229,Car Loan,3941004.82,15.79,2024-05-12,Defaulted
L0089,C0094,Home Loan,3076592.41,15.67,2026-05-24,Closed
L0118,C0149,Education Loan,5094471.55,12.38,2020-04-13,Defaulted
L0095,C0069,Car Loan,2332081.87,9.7,2021-02-02,Closed
L0211,C0407,Business Loan,5197273.03,15.87,2022-06-13,Active
L0057,C0303,Education Loan,8880100.29,14.15,2022-05-26,Closed
L0079,C0287,Car Loan,8983796.19,17.36,2022-01-16,Closed
L0162,C0152,Home Loan,7524405.71,11.15,2024-10-09,Closed
L0067,C0145,Home Loan,9977995.46,11.76,2024-07-21,Active
L0085,C0269,Education Loan,4976957.68,10.16,2021-06-21,Closed
L0197,C0300,Car Loan,1873840.42,16.83,2021-09-11,Closed
L0231,C0140,Home Loan,9983230.86,9.18,2024-06-09,Closed
L0167,C0061,Car Loan,3552029.0,8.71,2025-07-02,Active
L0070,C0129,Home Loan,2333134.8,14.65,2024-06-29,Closed
L0189,C0217,Business Loan,7354699.05,6.98,2025-04-09,Active
L0150,C0088,Personal Loan,2873567.92,17.88,2023-10-19,Closed
L0058,C0257,Education Loan,9065172.99,9.56,2021-04-26,Closed
L0009,C0134,Business Loan,6358624.95,7.62,2021-12-17,Defaulted
L0019,C0130,Education Loan,2941351.42,12.63,2022-10-12,Closed
L0045,C0372,Personal Loan,897696.59,10.57,2024-12-24,Defaulted
L0117,C0470,Car Loan,1407130.39,12.5,2025-04-16,Closed
L0239,C0320,Car Loan,6776177.84,11.06,2023-06-19,Active
L0015,C0382,Education Loan,4437409.98,8.9,2020-01-09,Defaulted
L0003,C0015,Personal Loan,1923811.61,17.73,2026-07-19,Defaulted
L0254,C0115,Education Loan,274466.54,12.29,2025-12-14,Defaulted
L0035,C0397,Personal Loan,8404262.1,8.73,2021-12-05,Defaulted
L0258,C0412,Business Loan,5194821.69,14.26,2024-05-15,Defaulted
L0005,C0100,Business Loan,4428148.47,17.66,2023-07-05,Active
L0199,C0328,Education Loan,7599609.15,7.23,2023-03-25,Defaulted
L0111,C0288,Car Loan,3950671.85,15.49,2020-06-26,Defaulted
L0154,C0321,Home Loan,3378806.16,12.64,2022-06-17,Defaulted
L0014,C0286,Education Loan,4659584.06,8.14,2025-04-17,Closed
L0141,C0161,Business Loan,6209121.03,17.88,2024-01-07,Closed
L0157,C0461,Business Loan,9580546.38,8.9,2022-01-23,Defaulted
L0052,C0449,Personal Loan,4725577.62,7.72,2022-12-26,Defaulted
L0203,C0293,Business Loan,1026921.85,16.87,2025-12-08,Defaulted
L0041,C0269,Home Loan,3838572.09,11.11,2025-06-28,Active
L0051,C0009,Education Loan,1103406.45,14.97,2025-09-29,Closed
L0249,C0376,Education Loan,8697795.05,7.08,2021-12-15,Closed
L0204,C0389,Home Loan,2236328.37,9.58,2025-02-23,Defaulted
L0191,C0408,Education Loan,9630028.3,9.75,2020-06-19,Active
L0084,C0380,Home Loan,4155506.54,17.33,2021-03-10,Closed
L0026,C0372,Personal Loan,6245976.31,6.89,2023-04-10,Closed
L0137,C0198,Personal Loan,9946869.32,8.67,2023-03-09,Closed
L0165,C0127,Home Loan,671372.79,15.78,2021-08-28,Defaulted
L0187,C0064,Education Loan,4367281.55,7.16,2023-01-08,Defaulted
L0250,C0266,Education Loan,608243.51,8.79,2022-10-20,Active
L0151,C0060,Car Loan,8449737.56,11.65,2022-04-10,Closed
L0101,C0088,Personal Loan,7155500.94,11.94,2025-06-12,Active
L0268,C0390,Car Loan,4190673.77,7.97,2022-08-28,Active
L0039,C0409,Business Loan,7056011.03,11.76,2021-03-25,Defaulted
L0040,C0226,Business Loan,9562680.46,11.46,2026-08-29,Closed
L0227,C0437,Business Loan,2878349.32,11.97,2025-10-26,Defaulted
L0065,C0015,Home Loan,2658030.55,8.03,2022-04-07,Closed
L0097,C0347,Home Loan,5395056.61,14.61,2024-05-13,Closed
L0175,C0194,Education Loan,3052118.7,9.37,2025-06-27,Active
L0235,C0295,Business Loan,5786252.92,14.37,2024-02-21,Active
L0075,C0174,Business Loan,8337020.15,10.69,2020-01-06,Active
L0273,C0251,Car Loan,3305642.5,8.19,2020-05-21,Defaulted
L0086,C0372,Home Loan,6349356.12,12.2,2023-01-24,Active
L0082,C0248,Home Loan,7983685.41,8.96,2020-03-15,Closed
L0028,C0018,Education Loan,1376243.46,15.85,2025-12-05,Active
L0212,C0074,Education Loan,3292222.35,15.78,2025-08-12,Active
L0126,C0452,Business Loan,4499939.01,15.95,2022-01-24,Closed
L0022,C0148,Business Loan,1844408.67,12.96,2025-04-08,Closed
L0279,C0373,Business Loan,2790556.3,14.9,2021-02-17,Active
L0077,C0088,Personal Loan,4774545.71,6.75,2023-04-18,Active
L0196,C0296,Personal Loan,3080970.27,11.38,2023-02-20,Defaulted
L0088,C0213,Car Loan,3096425.51,10.83,2022-10-11,Defaulted
L0232,C0350,Business Loan,291980.52,7.51,2023-09-18,Active
L0008,C0032,Business Loan,3061331.08,7.9,2025-05-31,Defaulted
L0253,C0423,Car Loan,5271461.03,16.45,2025-03-21,Closed
L0233,C0456,Personal Loan,4450520.45,15.89,2025-05-01,Active
L0114,C0184,Home Loan,1589320.03,10.82,2021-01-03,Closed
L0093,C0328,Personal Loan,7098915.94,8.25,2023-09-17,Defaulted
L0282,C0351,Education Loan,9793767.6,16.0,2020-07-29,Defaulted
L0061,C0078,Education Loan,4897321.47,10.84,2023-12-10,Active
L0140,C0173,Home Loan,6043249.3,12.83,2020-04-28,Defaulted
,C0087,Business Loan,609913.35,8.96,2024-03-24,Active
L0216,C0030,Business Loan,9327473.02,11.2,2023-09-16,Defaulted
L0056,C0260,Personal Loan,2188204.07,17.81,2026-04-24,Active
L0232,C0356,Education Loan,4420169.31,16.95,2022-02-10,Closed
L0185,C0429,Personal Loan,9837486.67,13.83,2023-03-16,Closed
L0060,C0004,Business Loan,7334764.06,14.82,2025-11-30,Defaulted
,C0037,Education Loan,897481.67,11.37,2023-07-27,Active
L0228,C0083,Personal Loan,1500078.51,7.96,2023-07-03,Defaulted
L0247,C0094,Car Loan,3249286.29,17.03,2020-04-25,Active
L0205,C0130,Car Loan,7462309.67,13.14,2026-03-22,Closed
L0073,C0004,Business Loan,5940774.45,7.38,2022-12-02,Defaulted
L0292,C0452,Home Loan,-438227.65,13.92,2023-04-23,Active
L0234,C0285,Home Loan,2068824.12,11.6,2021-05-16,Defaulted
L0131,C0315,Personal Loan,5675620.45,10.26,2024-11-11,Active
L0113,C0036,Home Loan,7165597.34,13.82,2020-04-28,Active
L0208,C0429,Home Loan,8998197.53,7.7,2024-10-14,Active
L0272,C0372,Business Loan,9829767.49,17.7,2022-03-12,Active
L0181,C0176,Car Loan,4359837.56,8.61,2024-01-30,Closed
L0108,C0094,Home Loan,1548522.0,15.54,2026-07-15,Closed
L0256,C0375,Car Loan,113848.13,17.27,2020-06-11,Defaulted
L0245,C0150,Business Loan,7666943.77,7.25,2023-12-26,Closed
L0100,C0196,Business Loan,4670085.06,10.67,2023-02-01,Active
L0200,C0131,Personal Loan,7609998.41,7.9,2024-01-11,Closed
L0147,C0285,Education Loan,7331502.86,11.39,2023-04-18,Active
L0186,C0099,Business Loan,1198389.16,8.4,2026-06-01,Defaulted
L0036,C0260,Home Loan,6439836.17,14.68,2026-07-09,Closed
L0202,C0258,Car Loan,8938313.94,10.52,2025-08-10,Closed
L0270,C0018,Personal Loan,4550336.94,17.09,2023-06-10,Defaulted
L0219,C0108,Education Loan,2796260.85,11.44,2023-12-02,Closed
L0267,C0018,Car Loan,6267808.22,9.77,2021-05-02,Defaulted
L0177,C0107,Business Loan,7767742.01,7.28,2020-04-26,Active
L0109,C0118,Car Loan,2183578.81,8.05,2023-03-26,Active
L0286,,Car Loan,940511.33,9.05,2023-10-26,Active
L0164,C0234,Personal Loan,3423270.15,15.27,2022-10-06,Defaulted
L0179,C0136,Personal Loan,7392603.08,12.72,2020-11-18,Closed
L0172,C0052,Personal Loan,982407.14,15.67,2026-05-17,Defaulted
L0152,C0104,Car Loan,7940099.52,7.57,2020-11-10,Defaulted
L0275,C0466,Education Loan,6483567.25,16.54,2026-03-17,Active
L0244,C0390,Personal Loan,1703636.67,11.55,2024-05-16,Closed
L0265,C0436,Car Loan,9548738.85,16.76,2026-03-13,Defaulted
L0269,C0273,Personal Loan,1143218.48,12.24,2026-07-07,Active
L0170,C0082,Education Loan,7470446.98,16.68,2024-09-15,Active
L0017,C0090,Home Loan,6497010.63,14.56,2021-07-12,Closed
L0222,C0240,Personal Loan,1545231.38,11.83,2020-12-24,Closed
,C0414,Car Loan,102542.51,10.67,2025-04-25,Active
L0263,C0460,Education Loan,5507601.98,15.21,2021-12-04,Closed
L0240,C0139,Business Loan,8546896.62,15.64,2024-12-07,Defaulted
L0018,C0310,Home Loan,7155620.54,7.14,2025-10-02,Defaulted
L0213,C0001,Home Loan,9033716.36,9.76,2026-02-16,Defaulted
L0194,C0096,Personal Loan,1597592.83,8.4,2023-06-16,Defaulted
L0198,C0103,Education Loan,4779852.94,9.9,2022-01-09,Active
L0080,C0440,Home Loan,3786588.92,14.41,2022-04-18,Closed
L0007,C0153,Home Loan,3120590.37,8.0,2026-08-11,Active
L0134,C0076,Home Loan,7992828.34,17.94,2024-09-13,Defaulted
L0143,C0373,Car Loan,7345341.55,7.13,2021-02-01,Closed
L0224,C0213,Business Loan,1329917.28,8.64,2021-06-13,Active
L0024,C0062,Personal Loan,1681670.68,12.67,2024-03-10,Closed
L0104,C0019,Business Loan,570210.37,17.03,2021-07-29,Defaulted
L0027,C0002,Business Loan,9711232.37,10.94,2024-12-15,Closed
L0278,C0255,Home Loan,8413599.81,11.21,2022-12-01,Active
L0004,C0038,Personal Loan,1662862.69,17.64,2026-07-05,Closed
L0053,C0347,Business Loan,4589503.66,7.66,2024-02-12,Defaulted
L0032,C0232,Home Loan,769705.38,14.95,2021-10-26,Closed
L0283,C0366,Business Loan,6025953.82,14.31,2024-03-02,Closed
L0296,C0165,Crypto Loan,370535.43,11.03,2023-01-14,Active
L0293,C0348,Personal Loan,110958.33,-1.75,2023-02-16,Active
L0225,C0309,Business Loan,6526199.63,11.31,2025-01-25,Active
L0001,C0296,Personal Loan,4473936.79,8.34,2022-11-15,Closed
L0221,C0008,Car Loan,3040909.47,12.91,2024-01-23,Active
L0294,C0194,Home Loan,165911.37,-2.05,2023-05-22,Active
L0159,C0346,Home Loan,9713925.25,15.79,2021-07-14,Closed
L0148,C0029,Business Loan,581869.94,17.87,2020-09-28,Active
L0144,C0437,Personal Loan,300807.07,11.88,2020-05-17,Active
L0068,C0393,Education Loan,4038592.51,9.48,2025-12-04,Defaulted
L0069,C0442,Car Loan,5241271.19,6.82,2023-07-15,Closed
L0180,C0170,Car Loan,614240.7,8.09,2023-01-18,Active
L0259,C0320,Car Loan,766318.86,17.69,2020-12-11,Defaulted
L0192,C0031,Car Loan,2572871.26,17.77,2021-01-04,Defaulted
L0062,C0311,Business Loan,7981643.0,14.58,2025-07-03,Closed
L0081,C0417,Car Loan,5970468.59,17.82,2023-12-31,Defaulted
L0047,C0056,Education Loan,4774800.58,16.06,2026-05-13,Defaulted
L0257,C0303,Car Loan,7156873.85,11.84,2020-09-23,Defaulted
L0163,C0052,Car Loan,5137130.45,10.93,2026-04-04,Active
L0099,C0423,Home Loan,6935486.09,16.25,2022-06-29,Defaulted
L0063,C0367,Education Loan,2321506.76,15.72,2024-09-22,Closed
L0031,C0286,Home Loan,3220898.13,14.54,2021-10-16,Closed
L0255,C0121,Personal Loan,3952121.8,14.96,2021-04-12,Closed
L0034,C0043,Personal Loan,1914055.01,9.99,2024-06-17,Active
L0182,C0291,Personal Loan,8722224.69,12.24,2022-01-20,Defaulted
L0076,C0329,Education Loan,8386164.47,14.35,2021-08-25,Closed
L0153,C0026,Home Loan,2370778.46,13.71,2023-11-04,Closed
L0105,C0375,Business Loan,7610365.4,14.72,2023-07-24,Defaulted
L0190,C0039,Car Loan,6955866.29,12.63,2022-12-18,Defaulted
L0013,C0296,Business Loan,2271451.0,9.93,2025-02-15,Defaulted
L0277,C0002,Personal Loan,587502.55,12.31,2022-08-16,Defaulted
L0226,C0175,Home Loan,4894519.28,7.3,2020-06-01,Active
L0195,C0325,Car Loan,8740639.83,16.61,2022-06-27,Defaulted
L0125,C0138,Business Loan,3467144.1,17.88,2026-04-27,Defaulted
L0087,C0162,Car Loan,9889699.09,6.7,2023-09-21,Closed
L0115,C0190,Car Loan,7218140.27,11.83,2024-12-31,Defaulted
L0094,C0217,Education Loan,8770735.24,13.61,2024-09-16,Closed
L0121,C0426,Car Loan,7350390.96,10.92,2021-01-19,Active
L0266,C0067,Personal Loan,8922375.53,7.25,2021-08-16,Closed
L0242,C0275,Personal Loan,3821782.11,15.21,2020-01-22,Defaulted
L0262,C0105,Business Loan,9748075.06,9.91,2020-11-09,Active
L0112,C0002,Personal Loan,5174497.06,10.31,2023-05-29,Active
L0078,C0079,Personal Loan,7213754.86,6.62,2021-10-10,Closed
L0002,C0435,Personal Loan,8726018.93,8.68,2021-09-02,Closed
L0238,C0278,Personal Loan,3095478.12,11.5,2024-03-20,Active
L0127,C0178,Education Loan,428389.72,7.15,2024-08-08,Active
L0171,C0296,Business Loan,4978135.24,11.91,2024-02-28,Closed
L0209,C0458,Education Loan,4224813.57,10.6,2021-01-09,Defaulted
L0158,C0205,Personal Loan,3789460.92,13.2,2022-08-10,Closed
L0050,C0166,Car Loan,5441788.43,17.14,2021-04-07,Active
L0193,C0083,Personal Loan,1675397.36,16.0,2023-05-10,Defaulted
L0064,C0083,Education Loan,6621628.58,15.37,2024-12-17,Active
L0184,C0346,Business Loan,3879569.05,13.49,2025-06-17,Defaulted
L0130,C0048,Education Loan,481723.12,16.1,2024-08-10,Active
L0139,C0145,Car Loan,4592854.93,15.65,2020-01-29,Defaulted
