transaction_id,account_id,transaction_type,transaction_amount,transaction_date,transaction_mode,merchant_category
T06851,A0443,DEBIT,471575.83,2024-06-18,Net Banking,Retail
T02102,A0176,DEBIT,155911.27,2025-02-08,UPI,Travel
T00918,A0025,DEBIT,240455.7,2026-01-13,UPI,Restaurant
T06013,A0211,DEBIT,482629.44,2025-10-12,Credit Card,Education
T05903,A0395,CREDIT,389919.63,2024-02-02,Mobile Banking,Travel
T04998,A0255,CREDIT,89889.65,2025-03-11,Credit Card,Utilities
T06755,A0230,CREDIT,480596.27,2024-03-13,Mobile Banking,Entertainment
T07825,A0425,DEBIT,462323.05,2024-02-03,Debit Card,Retail
T09660,A0279,CREDIT,-7498.52,2025-01-10,Net Banking,Education
T04799,A0246,CREDIT,40364.86,2024-02-20,Debit Card,Education
T01444,A0322,CREDIT,217868.15,2026-04-14,Credit Card,Grocery
T04313,A0463,CREDIT,456632.17,2024-06-01,UPI,Retail
T08843,A0564,CREDIT,443765.72,2025-03-27,Debit Card,Entertainment
T04622,A0210,DEBIT,5669.16,2024-07-21,ATM,Travel
T08144,A0179,DEBIT,80118.54,2024-06-05,Net Banking,Grocery
T04171,A0242,CREDIT,497225.36,2024-08-09,Net Banking,Restaurant
T00351,A0118,DEBIT,497129.1,2024-09-10,Mobile Banking,Healthcare
T06614,A0161,DEBIT,234110.7,2024-04-04,Credit Card,Education
T07444,A0447,DEBIT,251527.37,2024-11-01,Credit Card,Entertainment
T01841,A0507,DEBIT,30248.45,2025-09-05,Net Banking,Retail
T02873,A0418,CREDIT,94652.98,2024-12-19,Credit Card,Fuel
T02690,A0567,CREDIT,16287.73,2024-06-28,UPI,Healthcare
T01832,A0018,CREDIT,350342.78,2025-01-10,Debit Card,Healthcare
T08852,A0418,CREDIT,292136.95,2025-11-05,Mobile Banking,Online Shopping
T00079,A0128,DEBIT,185303.27,2024-07-16,Credit Card,Retail
T00854,A0326,CREDIT,200001.79,2024-11-30,Debit Card,Healthcare
T07122,A0400,DEBIT,24916.47,2025-10-03,Debit Card,Fuel
T08551,A0071,CREDIT,309361.66,2025-05-13,UPI,Fuel
T01063,A0472,CREDIT,470104.48,2026-04-12,Mobile Banking,Healthcare
T06297,A0460,CREDIT,301072.5,2025-08-19,Debit Card,Utilities
T05539,A0281,DEBIT,349380.63,2025-05-26,Mobile Banking,Healthcare
T03829,A0308,CREDIT,36087.54,2026-05-24,Debit Card,Travel
T00876,A0130,CREDIT,316496.72,2025-03-17,Debit Card,Utilities
T02235,A0317,CREDIT,209952.82,2024-07-25,Credit Card,Utilities
T06894,A0338,DEBIT,256355.59,2026-03-16,Debit Card,Grocery
T02293,A0266,DEBIT,364850.69,2024-04-14,Credit Card,Entertainment
T00562,A0506,DEBIT,54681.36,2024-02-21,Mobile Banking,Travel
T08937,A0477,CREDIT,60647.5,2024-01-21,ATM,Utilities
T04088,A0229,CREDIT,479717.72,2024-08-15,UPI,Healthcare
T03128,A0549,DEBIT,144378.9,2025-10-14,ATM,Travel
T02914,A0375,CREDIT,301178.44,2024-04-29,Credit Card,Retail
T06077,A0074,CREDIT,339964.34,2024-03-31,Debit Card,Fuel
T06351,A0328,CREDIT,127131.13,2024-01-05,Net Banking,Travel
T09474,A0416,CREDIT,207820.22,2024-09-05,Net Banking,Retail
T09732,A0398,TRANSFER,42768.27,2023-11-12,Mobile Banking,Fuel
T07223,A0130,CREDIT,50051.83,2025-03-31,UPI,Healthcare
T05002,A0468,CREDIT,447134.28,2025-11-21,ATM,Healthcare
T07265,A0341,CREDIT,242399.6,2025-03-05,Debit Card,Education
T08454,A0500,DEBIT,136681.22,2026-05-06,Debit Card,Utilities
T02525,A0314,CREDIT,203590.45,2024-05-28,ATM,Restaurant
T00195,A0412,DEBIT,6089.49,2024-08-05,Credit Card,Travel
T01062,A0432,DEBIT,359172.67,2024-02-10,Debit Card,Entertainment
T03211,A0332,DEBIT,419180.48,2026-02-05,Net Banking,Grocery
T01330,A0025,DEBIT,248123.22,2026-03-24,Mobile Banking,Healthcare
T02646,A0552,CREDIT,288985.86,2024-10-22,Net Banking,Restaurant
T09753,A0543,TRANSFER,10135.13,2026-03-15,ATM,Travel
T09697,A0487,CREDIT,-168.77,2025-04-30,Debit Card,Travel
T07085,A0339,DEBIT,303368.73,2025-09-02,UPI,Retail
T09823,A0248,CREDIT,19032.88,bad-date,UPI,Grocery
T06143,A0129,DEBIT,51664.08,2024-05-17,ATM,Fuel
T03669,A0335,CREDIT,161425.7,2024-04-08,Credit Card,Healthcare
T01178,A0155,CREDIT,153850.17,2024-03-08,Debit Card,Fuel
T01974,A0034,DEBIT,304479.51,2026-03-22,ATM,Utilities
T01590,A0031,CREDIT,382763.17,2026-03-09,UPI,Retail
T05886,A0158,DEBIT,420112.97,2024-05-15,Net Banking,Fuel
T05052,A0471,DEBIT,365330.44,2026-03-12,Mobile Banking,Fuel
T02782,A0214,DEBIT,302242.14,2024-07-03,Net Banking,Retail
T00865,A0433,CREDIT,151546.96,2024-09-21,Mobile Banking,Online Shopping
,A0160,CREDIT,17642.03,2025-08-09,Credit Card,Healthcare
T06732,A0120,CREDIT,496950.75,2024-08-16,Debit Card,Travel
T05847,A0427,DEBIT,313280.6,2025-07-12,Net Banking,Restaurant
T00706,A0250,DEBIT,121612.36,2026-02-25,Debit Card,Travel
T08857,A0482,DEBIT,201779.59,2024-05-27,UPI,Healthcare
T06051,A0024,CREDIT,48798.9,2024-09-18,ATM,Education
T04286,A0525,DEBIT,256313.51,2024-04-17,Net Banking,Restaurant
T03826,A0313,CREDIT,239850.72,2025-02-24,Net Banking,Retail
T02502,A0287,CREDIT,9938.16,2025-12-25,Mobile Banking,Entertainment
T08580,A0188,CREDIT,94750.71,2024-09-22,ATM,Utilities
T07535,A0182,DEBIT,26313.36,2025-07-05,ATM,Education
T08658,A0245,DEBIT,299319.11,2024-01-02,Net Banking,Healthcare
T06649,A0193,DEBIT,230251.07,2026-08-14,Mobile Banking,Grocery
T01596,A0559,CREDIT,300214.11,2025-08-13,Net Banking,Entertainment
T08719,A0214,CREDIT,379624.81,2025-06-14,Debit Card,Travel
T02792,A0445,DEBIT,31703.32,2024-01-13,UPI,Fuel
T08372,A0454,DEBIT,187021.93,2024-04-07,ATM,Travel
T09100,A0439,DEBIT,89045.96,2026-03-21,Mobile Banking,Retail
T07172,A0185,CREDIT,302039.1,2025-06-14,ATM,Retail
T06982,A0473,CREDIT,281641.77,2024-07-03,Mobile Banking,Healthcare
T05827,A0449,DEBIT,25364.38,2025-11-27,Net Banking,Education
T04337,A0151,CREDIT,1321.99,2024-12-11,ATM,Retail
T05331,A0481,CREDIT,481953.59,2026-03-05,Credit Card,Online Shopping
T05480,A0369,CREDIT,260118.72,2025-03-13,Net Banking,Utilities
T07884,A0335,CREDIT,15724.37,2024-06-29,Net Banking,Utilities
,A0091,CREDIT,17424.85,2025-02-22,Credit Card,Travel
T00736,A0120,DEBIT,401840.18,2026-02-01,ATM,Online Shopping
T05630,A0292,DEBIT,35254.52,2024-05-13,Mobile Banking,Healthcare
T08891,A0099,CREDIT,322750.04,2025-06-03,Debit Card,Online Shopping
T01147,A0157,DEBIT,429757.83,2024-09-13,ATM,Utilities
T01991,A0244,CREDIT,75558.84,2024-04-25,Mobile Banking,Education
T01151,A0542,DEBIT,278470.88,2024-05-26,Net Banking,Utilities
T04353,A0465,CREDIT,272923.36,2024-06-07,Credit Card,Education
T01641,A0112,DEBIT,112999.46,2025-02-10,Net Banking,Entertainment
T08012,A0520,CREDIT,252314.92,2024-02-02,Mobile Banking,Restaurant
T02836,A0515,CREDIT,193243.68,2025-01-20,Mobile Banking,Restaurant
T04509,A0270,DEBIT,214985.68,2025-05-19,UPI,Restaurant
T07822,A0485,DEBIT,36522.93,2024-06-01,Net Banking,Healthcare
T00531,A0128,DEBIT,85652.75,2024-11-30,Net Banking,Healthcare
T03034,A0103,CREDIT,127457.37,2025-03-17,Debit Card,Retail
T04417,A0417,CREDIT,460568.84,2024-03-12,Debit Card,Healthcare
T05915,A0522,DEBIT,455906.93,2024-06-17,Debit Card,Fuel
T04456,A0011,DEBIT,481958.41,2024-10-12,Net Banking,Restaurant
T01012,A0036,CREDIT,456797.11,2024-02-17,Net Banking,Healthcare
T00720,A0419,DEBIT,370374.67,2025-03-22,Debit Card,Entertainment
T06924,A0371,DEBIT,139047.41,2024-08-14,Net Banking,Online Shopping
T00585,A0126,DEBIT,397686.92,2025-08-03,Debit Card,Restaurant
T00714,A0465,CREDIT,83468.79,2025-03-04,Debit Card,Education
T00649,A0268,CREDIT,167337.17,2026-02-22,UPI,Grocery
T06956,A0307,CREDIT,245944.05,2024-09-29,Mobile Banking,Retail
T02062,A0188,CREDIT,297073.9,2025-07-07,Debit Card,Utilities
T03998,A0556,CREDIT,100911.43,2025-08-09,Debit Card,Education
T05243,A0324,DEBIT,60047.56,2026-05-02,Credit Card,Online Shopping
T05142,A0565,DEBIT,349688.09,2024-08-12,Net Banking,Online Shopping
T02082,A0074,DEBIT,313467.81,2026-07-20,UPI,Travel
T06965,A0060,CREDIT,324420.72,2026-06-25,Debit Card,Travel
T09551,,CREDIT,10521.81,2026-06-21,ATM,Grocery
T00216,A0391,DEBIT,427035.7,2026-02-16,Debit Card,Fuel
T04200,A0065,CREDIT,414252.14,2024-06-08,ATM,Healthcare
T03483,A0418,CREDIT,410437.82,2025-10-11,Net Banking,Retail
T07147,A0308,CREDIT,413694.61,2024-08-05,Debit Card,Restaurant
T05521,A0458,CREDIT,116419.17,2025-05-23,Net Banking,Restaurant
T07906,A0310,CREDIT,331556.52,2025-02-01,Net Banking,Entertainment
T08410,A0483,CREDIT,324121.35,2024-07-30,Credit Card,Utilities
T08614,A0085,DEBIT,123746.09,2024-07-24,Mobile Banking,Education
T00516,A0410,CREDIT,125121.56,2024-07-21,Mobile Banking,Restaurant
T05694,A0230,CREDIT,173817.5,2025-05-21,Mobile Banking,Retail
T06848,A0507,CREDIT,58791.49,2024-11-23,ATM,Utilities
T02962,A0323,DEBIT,190005.1,2024-08-28,Credit Card,Online Shopping
T04203,A0068,DEBIT,423823.59,2025-03-20,Debit Card,Retail
T06294,A0398,DEBIT,65313.39,2025-01-30,Credit Card,Travel
T02469,A0411,CREDIT,104572.0,2024-09-04,Net Banking,Retail
T04176,A0206,CREDIT,447283.66,2025-05-08,Net Banking,Healthcare
T01316,A0101,DEBIT,344326.71,2025-09-27,Debit Card,Entertainment
T03723,A0514,DEBIT,416790.68,2024-03-23,UPI,Education
T01767,A0426,DEBIT,269503.56,2024-10-13,Debit Card,Grocery
T08922,A0561,CREDIT,244358.48,2025-03-21,Credit Card,Restaurant
T06837,A0372,CREDIT,299581.95,2024-02-08,UPI,Retail
T06865,A0522,DEBIT,105850.84,2025-05-14,UPI,Travel
T07755,A0229,CREDIT,324508.24,2026-07-20,ATM,Travel
T01763,A0062,CREDIT,378906.63,2024-01-07,Debit Card,Utilities
T08527,A0062,DEBIT,375958.2,2024-07-24,UPI,Utilities
T05662,A0560,CREDIT,268552.77,2025-06-27,Net Banking,Fuel
T07425,A0557,CREDIT,345635.48,2024-07-17,Net Banking,Grocery
T01959,A0209,DEBIT,114480.9,2026-02-16,Credit Card,Utilities
T04251,A0447,DEBIT,132025.21,2025-04-20,UPI,Retail
T05687,A0123,DEBIT,58371.9,2026-07-17,UPI,Travel
T09032,A0115,DEBIT,377263.44,2024-06-11,Debit Card,Fuel
T08377,A0535,DEBIT,271418.66,2025-02-11,UPI,Grocery
T03285,A0558,DEBIT,93367.58,2026-07-05,Mobile Banking,Retail
T03974,A0352,CREDIT,241248.86,2026-05-04,UPI,Retail
T06289,A0290,CREDIT,104817.95,2024-04-22,Debit Card,Healthcare
T03878,A0183,DEBIT,156976.65,2024-04-10,Credit Card,Grocery
T06831,A0496,CREDIT,142507.31,2024-01-07,UPI,Travel
T01285,A0468,CREDIT,60250.48,2025-10-13,Mobile Banking,Retail
T06188,A0439,CREDIT,43086.67,2025-10-12,Debit Card,Healthcare
T08260,A0519,CREDIT,206573.63,2024-11-03,Mobile Banking,Grocery
T00833,A0160,CREDIT,496878.44,2025-03-20,Debit Card,Restaurant
T07294,A0376,DEBIT,34640.31,2026-05-21,Mobile Banking,Online Shopping
T02498,A0525,DEBIT,484665.38,2024-07-09,Net Banking,Grocery
T06305,A0425,DEBIT,371271.23,2024-01-23,ATM,Restaurant
T05021,A0462,DEBIT,16599.12,2025-10-24,ATM,Online Shopping
T07995,A0165,CREDIT,426654.9,2024-08-07,Debit Card,Utilities
T03296,A0331,CREDIT,265798.73,2025-11-22,ATM,Travel
T00735,A0456,DEBIT,246678.45,2024-03-29,ATM,Restaurant
T03440,A0208,CREDIT,439566.21,2025-12-13,Mobile Banking,Travel
T03165,A0216,DEBIT,41798.33,2023-04-22,ATM,Online Shopping
T00522,A0420,DEBIT,301980.66,2026-06-17,Mobile Banking,Education
T08700,A0072,DEBIT,307545.05,2025-09-27,ATM,Grocery
T09614,A9999,CREDIT,10868.66,2025-09-03,UPI,Retail
T00678,A0269,CREDIT,378650.38,2024-12-15,Mobile Banking,Fuel
T05922,A0061,DEBIT,18201.0,2025-03-31,Debit Card,Healthcare
T00717,A0433,DEBIT,63813.75,2025-12-14,Net Banking,Travel
T04068,A0135,DEBIT,204848.83,2024-01-18,Credit Card,Online Shopping
T08812,A0026,CREDIT,112943.07,2025-08-10,UPI,Fuel
T08021,A0379,CREDIT,365090.54,2025-07-13,Debit Card,Travel
T08742,A0293,DEBIT,22916.43,2024-07-14,Mobile Banking,Utilities
,A0369,CREDIT,35428.59,2025-06-22,Debit Card,Fuel
T05830,A0405,DEBIT,466461.01,2025-11-11,ATM,Healthcare
T09771,A0267,DEBIT,32765.65,2025-04-02,Telegram,Grocery
T01928,A0560,DEBIT,308272.44,2025-07-05,Net Banking,Travel
T09236,A0103,DEBIT,211909.93,2026-02-19,UPI,Grocery
T04260,A0516,CREDIT,492054.63,2025-10-25,Credit Card,Restaurant
T02002,A0101,CREDIT,1924.59,2026-01-20,UPI,Entertainment
T02231,A0388,DEBIT,496594.34,2025-07-30,Mobile Banking,Entertainment
T02601,A0055,DEBIT,363056.5,2026-06-18,Mobile Banking,Healthcare
T05313,A0348,CREDIT,270134.34,2024-05-07,Debit Card,Grocery
T04179,A0129,CREDIT,440430.08,2024-05-04,Credit Card,Grocery
T04040,A0147,CREDIT,287367.21,2025-12-21,Mobile Banking,Retail
T03401,A0007,CREDIT,394367.69,2024-12-15,ATM,Grocery
T05170,A0452,DEBIT,474000.6,2025-03-09,ATM,Entertainment
T08541,A0342,DEBIT,39056.21,2026-07-08,Mobile Banking,Grocery
T01995,A0190,CREDIT,87947.0,2024-01-03,UPI,Online Shopping
T06952,A0303,CREDIT,246042.96,2026-03-14,Credit Card,Retail
T07381,A0134,CREDIT,334307.95,2026-08-03,Net Banking,Utilities
T04588,A0151,DEBIT,121201.0,2024-12-08,UPI,Grocery
T05792,A0308,DEBIT,338993.61,2026-08-29,Net Banking,Education
T05874,A0059,DEBIT,468683.18,2025-06-07,Credit Card,Online Shopping
T01870,A0070,CREDIT,25383.72,2025-08-25,Credit Card,Entertainment
T00219,A0493,CREDIT,166683.75,2026-01-02,Credit Card,Travel
T01354,A0500,DEBIT,378733.11,2026-05-09,Mobile Banking,Fuel
T00929,A0300,DEBIT,128727.15,2024-08-21,UPI,Travel
T03577,A0118,CREDIT,226814.41,2025-05-25,UPI,Travel
T07468,A0112,CREDIT,147233.34,2026-05-09,Debit Card,Education
T04671,A0042,DEBIT,78955.55,2024-11-27,UPI,Grocery
T07316,A0293,CREDIT,482214.58,2025-11-04,Mobile Banking,Utilities
T00664,A0359,CREDIT,499044.6,2024-05-12,Net Banking,Healthcare
T00700,A0032,CREDIT,184214.13,2024-10-24,ATM,Fuel
T06123,A0259,DEBIT,65369.09,2025-03-02,UPI,Fuel
T03375,A0193,CREDIT,130849.33,2025-01-13,UPI,Fuel
T01452,A0376,DEBIT,333062.51,2024-03-30,UPI,Grocery
T02783,A0285,DEBIT,404445.11,2025-04-29,Debit Card,Utilities
T02003,A0236,DEBIT,12986.25,2024-10-01,Credit Card,Entertainment
T00223,A0040,CREDIT,192474.52,2025-08-02,ATM,Travel
T08319,A0008,DEBIT,52926.9,2025-10-09,ATM,Education
T06727,A0132,CREDIT,211893.14,2025-06-02,Debit Card,Fuel
T06134,A0285,CREDIT,219350.26,2024-06-10,UPI,Grocery
T02115,A0491,CREDIT,33677.65,2025-01-19,Net Banking,Grocery
T06825,A0083,DEBIT,448250.29,2025-03-12,Mobile Banking,Healthcare
T03706,A0501,DEBIT,132556.56,2025-05-22,Debit Card,Fuel
T06775,A0462,CREDIT,332915.31,2025-02-27,Net Banking,Utilities
T07983,A0563,DEBIT,7059.6,2024-07-12,Mobile Banking,Grocery
T08071,A0485,CREDIT,166113.58,2026-04-06,Mobile Banking,Online Shopping
T07841,A0361,CREDIT,425964.56,2025-02-28,Net Banking,Healthcare
T08788,A0442,CREDIT,375944.4,2026-04-18,Debit Card,Travel
T02747,A0043,DEBIT,246405.38,2025-01-26,Net Banking,Travel
T06946,A0359,DEBIT,235288.42,2024-11-18,Credit Card,Restaurant
T02750,A0170,DEBIT,233688.25,2025-07-09,Mobile Banking,Restaurant
T00429,A0434,CREDIT,135986.62,2024-04-04,Net Banking,Healthcare
T04341,A0293,DEBIT,245548.68,2025-07-08,Net Banking,Entertainment
T03498,A0485,DEBIT,262310.01,2024-01-05,Net Banking,Fuel
T09749,A0302,TRANSFER,42063.51,2025-06-06,UPI,Healthcare
T05670,A0500,DEBIT,382272.84,2024-05-07,Mobile Banking,Restaurant
T03459,A0522,DEBIT,239410.25,2026-06-09,ATM,Education
T03685,A0235,DEBIT,171643.53,2024-02-16,ATM,Restaurant
T02462,A0546,CREDIT,426430.36,2025-04-30,Debit Card,Grocery
T06069,A0510,DEBIT,237336.2,2026-03-23,Mobile Banking,Online Shopping
T00266,A0319,CREDIT,295070.89,2024-07-13,Credit Card,Healthcare
T06577,A0164,CREDIT,276661.54,2024-08-26,Debit Card,Fuel
T09212,A0375,DEBIT,447762.98,2026-01-24,Credit Card,Fuel
T06084,A0368,CREDIT,194481.52,2024-02-27,Credit Card,Education
T06589,A0079,DEBIT,352670.46,2024-06-04,Net Banking,Healthcare
T08423,A0439,DEBIT,56691.52,2025-04-15,Mobile Banking,Fuel
T06567,A0548,CREDIT,450846.74,2024-08-13,Credit Card,Utilities
T01894,A0064,CREDIT,129824.39,2024-02-17,Credit Card,Entertainment
T01786,A0475,DEBIT,12210.27,2024-06-18,Credit Card,Healthcare
T05719,A0370,CREDIT,172583.57,2025-12-06,ATM,Online Shopping
T03185,A0366,CREDIT,218688.98,2025-04-09,Mobile Banking,Entertainment
T01369,A0111,DEBIT,218642.4,2024-11-16,UPI,Grocery
T00059,A0243,DEBIT,254359.77,2025-05-31,Credit Card,Online Shopping
T06602,A0468,CREDIT,48883.98,2025-12-04,Credit Card,Education
T06937,A0149,DEBIT,495802.87,2026-01-20,Net Banking,Healthcare
T09280,A0204,DEBIT,364457.17,2025-02-02,Credit Card,Fuel
T01203,A0109,CREDIT,28177.59,2024-05-22,ATM,Online Shopping
T08298,A0531,CREDIT,196650.84,2025-12-10,Mobile Banking,Retail
T09179,A0029,CREDIT,167431.28,2026-08-11,Mobile Banking,Restaurant
T07393,A0305,DEBIT,289966.37,2024-02-13,UPI,Utilities
T05528,A0134,CREDIT,180567.16,2024-04-02,ATM,Online Shopping
T02590,A0317,DEBIT,422687.61,2024-09-22,ATM,Utilities
T08308,A0249,DEBIT,98506.79,2024-12-06,Credit Card,Utilities
T01919,A0170,DEBIT,453223.9,2024-10-12,Debit Card,Entertainment
T09378,A0066,CREDIT,223159.39,2025-10-15,Debit Card,Utilities
T03619,A0303,DEBIT,257992.67,2024-12-06,Net Banking,Travel
T05169,A0328,CREDIT,477113.45,2024-05-02,UPI,Grocery
T08159,A0380,CREDIT,463498.04,2024-04-08,Mobile Banking,Utilities
T03567,A0426,CREDIT,118855.76,2025-08-01,Mobile Banking,Online Shopping
T09506,,DEBIT,4086.86,2023-09-26,ATM,Entertainment
T01340,A0544,CREDIT,151741.74,2026-04-10,ATM,Utilities
T04283,A0491,CREDIT,233324.5,2025-10-10,Debit Card,Healthcare
T01978,A0518,DEBIT,257142.87,2024-03-09,Credit Card,Utilities
T04498,A0209,CREDIT,496966.62,2024-02-10,UPI,Restaurant
T06576,A0047,DEBIT,213992.0,2024-05-14,Mobile Banking,Online Shopping
T06574,A0257,CREDIT,253501.19,2025-01-11,Debit Card,Entertainment
T00772,A0251,DEBIT,8704.54,2025-05-23,Mobile Banking,Healthcare
T02126,A0131,CREDIT,121925.26,2026-01-05,ATM,Retail
T02771,A0106,CREDIT,34176.31,2025-11-28,Debit Card,Grocery
T08784,A0191,DEBIT,91292.17,2026-01-08,Debit Card,Grocery
T04750,A0099,CREDIT,213599.34,2025-06-27,ATM,Travel
T02736,A0436,CREDIT,224339.58,2026-02-23,ATM,Retail
T07114,A0490,DEBIT,386621.51,2026-04-09,Credit Card,Travel
T07333,A0353,DEBIT,124671.27,2026-03-06,Credit Card,Education
T00599,A0142,DEBIT,347097.28,2025-05-30,Mobile Banking,Utilities
T04112,A0157,DEBIT,346624.2,2025-01-02,UPI,Education
T01502,A0069,CREDIT,417272.13,2026-08-14,Credit Card,Education
T09305,A0118,CREDIT,228106.48,2026-02-25,Net Banking,Retail
T03303,A0245,CREDIT,110889.46,2024-05-27,Net Banking,Utilities
T02961,A0380,CREDIT,61761.65,2025-09-23,Credit Card,Retail
T07467,A0537,CREDIT,367297.04,2026-01-19,UPI,Retail
T01749,A0401,DEBIT,182965.53,2025-10-23,Credit Card,Education
T02090,A0384,CREDIT,10353.55,2025-02-06,Credit Card,Entertainment
T01769,A0555,DEBIT,366470.61,2025-03-08,Debit Card,Utilities
T04567,A0218,CREDIT,411673.72,2025-03-08,Debit Card,Education
T02724,A0437,CREDIT,3720.51,2025-07-04,UPI,Utilities
T09293,A0033,DEBIT,87423.37,2024-08-04,Mobile Banking,Healthcare
T00770,A0483,DEBIT,145690.2,2024-04-05,ATM,Healthcare
T02241,A0211,CREDIT,347391.27,2025-08-30,Credit Card,Retail
T06884,A0560,CREDIT,338712.74,2026-08-23,Net Banking,Education
T06412,A0195,DEBIT,342620.91,2024-08-23,Credit Card,Entertainment
T03312,A0221,CREDIT,419516.86,2025-08-23,ATM,Education
T03091,A0136,CREDIT,240575.71,2024-05-30,Net Banking,Education
T06979,A0317,CREDIT,254966.38,2026-03-28,Credit Card,Entertainment
T07024,A0091,DEBIT,240437.97,2024-03-17,ATM,Education
T03300,A0111,DEBIT,267335.14,2024-11-18,Credit Card,Restaurant
T03841,A0163,DEBIT,91278.26,2024-09-23,ATM,Fuel
T09041,A0342,CREDIT,358240.07,2024-02-16,Credit Card,Online Shopping
T04125,A0569,CREDIT,125605.95,2025-07-11,Credit Card,Travel
T06501,A0238,CREDIT,415617.91,2025-03-18,Net Banking,Grocery
T05904,A0257,CREDIT,171627.22,2024-07-29,Credit Card,Education
T04039,A0477,CREDIT,201401.75,2024-01-11,UPI,Travel
T08605,A0131,CREDIT,147556.64,2024-11-23,ATM,Entertainment
T06549,A0263,DEBIT,188074.39,2024-11-20,Credit Card,Utilities
T04899,A0244,CREDIT,454780.76,2024-12-20,Debit Card,Education
T00820,A0067,CREDIT,412541.27,2025-05-28,ATM,Restaurant
T04992,A0325,CREDIT,22469.14,2026-08-22,UPI,Entertainment
T02034,A0167,DEBIT,443723.34,2026-06-25,Debit Card,Retail
T01372,A0099,DEBIT,102525.88,2026-07-01,Mobile Banking,Fuel
T06648,A0107,CREDIT,281765.38,2025-11-07,Mobile Banking,Healthcare
T06206,A0514,CREDIT,443781.2,2025-02-20,Net Banking,Education
T07542,A0027,CREDIT,246340.47,2024-04-01,UPI,Online Shopping
T04007,A0362,CREDIT,119213.64,2025-12-22,ATM,Fuel
T08166,A0495,DEBIT,66579.6,2026-01-21,Debit Card,Grocery
T02453,A0215,DEBIT,376017.55,2026-05-19,Net Banking,Online Shopping
T00005,A0161,DEBIT,354110.86,2026-02-19,Net Banking,Entertainment
T04547,A0298,DEBIT,315978.48,2024-11-18,Debit Card,Utilities
T01834,A0354,CREDIT,389631.53,2025-08-20,Credit Card,Retail
T05089,A0220,CREDIT,381354.15,2026-06-02,Mobile Banking,Fuel
T09325,A0194,CREDIT,93130.38,2024-03-10,ATM,Restaurant
T04409,A0482,DEBIT,146667.71,2024-12-03,Net Banking,Restaurant
T03192,A0225,CREDIT,202219.46,2025-08-18,Mobile Banking,Utilities
T06287,A0119,DEBIT,394793.08,2024-04-07,Mobile Banking,Online Shopping
